iter	Passed	Remaining
0	158	158802
1	170	84860
2	182	60511
3	196	48817
4	208	41410
5	218	36120
6	232	32957
7	243	30158
8	254	28003
9	265	26299
10	279	25140
11	306	25219
12	319	24286
13	341	24047
14	355	23330
15	371	22827
16	384	22228
17	396	21607
18	410	21203
19	429	21063
20	440	20541
21	453	20177
22	465	19793
23	477	19401
24	490	19143
25	507	19006
26	522	18822
27	539	18722
28	552	18507
29	568	18387
30	586	18329
31	603	18264
32	617	18105
33	632	17980
34	655	18069
35	666	17852
36	684	17805
37	697	17652
38	709	17473
39	727	17449
40	741	17339
41	763	17412
42	782	17420
43	830	18046
44	854	18136
45	883	18321
46	906	18371
47	919	18238
48	934	18131
49	952	18091
50	976	18165
51	999	18215
52	1023	18294
53	1045	18324
54	1065	18314
55	1084	18275
56	1105	18295
57	1135	18442
58	1155	18422
59	1182	18531
60	1196	18412
61	1216	18411
62	1235	18372
63	1257	18388
64	1280	18421
65	1309	18528
66	1334	18578
67	1359	18633
68	1377	18579
69	1412	18760
70	1431	18732
71	1448	18668
72	1463	18587
73	1482	18556
74	1511	18646
75	1538	18706
76	1562	18734
77	1577	18647
78	1593	18576
79	1606	18476
80	1619	18371
81	1643	18397
82	1661	18353
83	1671	18229
84	1682	18110
85	1692	17986
86	1706	17906
87	1717	17800
88	1730	17712
89	1741	17606
90	1753	17520
91	1772	17493
92	1790	17461
93	1809	17437
94	1827	17407
95	1848	17406
96	1874	17446
97	1898	17475
98	1922	17496
99	1942	17479
100	1958	17435
101	1970	17346
102	1985	17290
103	2000	17233
104	2013	17165
105	2032	17140
106	2056	17166
107	2072	17116
108	2093	17114
109	2110	17074
110	2128	17050
111	2144	17001
112	2165	17000
113	2184	16980
114	2197	16912
115	2215	16881
116	2227	16814
117	2254	16850
118	2267	16785
119	2286	16764
120	2299	16706
121	2320	16697
122	2337	16663
123	2361	16680
124	2385	16697
125	2429	16855
126	2472	16997
127	2490	16964
128	2508	16937
129	2522	16882
130	2537	16834
131	2549	16764
132	2561	16695
133	2575	16645
134	2591	16604
135	2602	16534
136	2614	16471
